id,decision,family,candidate_or_source,evidence_type,source,status,external_answer,printline_applicability,resource_and_integration,contrary_evidence_or_limit,disposition
P00,current baseline,execution,Printline deterministic adapter,local code and tests,printline/adapters.py and tests/test_service.py,established,"Closes fixture-backed queue receipt and retry behavior only","Exact current control and no-key demonstration","stdlib; fixed 2.38 MB PNG; seven-node graph digest","No live model GPU checkpoint control or quality evidence",retain as software control
P01,foundation,latent diffusion,SDXL 1.0,official model card and paper,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,established,"Closes that a mature 1024-oriented local base and ComfyUI ecosystem exist","Existing graph already names an SDXL checkpoint and uses compatible core nodes","mature control/reference ecosystem; actual VRAM and latency unknown here","Older than newer DiT families and published preference does not answer Printline prompts",first live integration control
P02,foundation,MMDiT,Stable Diffusion 3.5 Medium,official product/model evidence,https://stability.ai/news/introducing-stable-diffusion-3-5,provisional,"Closes candidate plausibility not local winner","2.5B model and 0.25-2MP stated range fit compute-balanced profile","consumer-hardware claim requires pinned local measurement","Vendor evidence and prompt/quality claims are not independent",admit P1
P03,foundation,rectified-flow DiT,FLUX.1-schnell,official model card and repository,https://huggingface.co/black-forest-labs/FLUX.1-schnell,provisional,"Closes few-step candidate plausibility not accepted-output cost","Fast profile may own a useful operating region","12B BF16 model; official card shows CPU offload option; local VRAM unknown","Prompt following is prompt-style sensitive and low step count is not total latency",admit P1
P04,foundation,multimodal DiT,Qwen-Image,official model card and repository,https://huggingface.co/Qwen/Qwen-Image,provisional,"Closes text/layout specialist plausibility","Professional poster and text cases expose a distinct region","20B BF16; native ComfyUI workflow; hardware gate required","Large resource surface and fine-detail issues are reported; not low-compute peer",conditional P1 specialist
P05,foundation,closed service,commercial image APIs,provider-specific model cards,client/provider dependent,unknown,"External leaderboards cannot close access cost privacy or client fit","May matter when client already has provider access","paid mutable service and no local weight receipt","Would mix provider change and local model questions",exclude first comparison
P06,structure,locked-backbone control,ControlNet,official paper and repository,https://github.com/lllyasviel/ControlNet,established,"Closes that edges depth pose and segmentation are distinct from prompting","Directly answers Printline structure-controlled profile","extra weights/preprocessors and model compatibility; ComfyUI core support","Original implementation targets older bases and combined controls can conflict",admit P2 via current ComfyUI nodes
P07,structure,lightweight adapter,T2I-Adapter,peer-reviewed paper,https://ojs.aaai.org/index.php/AAAI/article/view/28226,established,"Closes a lighter interchangeable structure family","Potential resource/compatibility alternative to ControlNet","candidate availability varies by base model","Not a second client feature when it controls the same condition",compare only if compatible non-dominated candidate
P08,structure,model-native control,Qwen Image Union Control LoRA,official ComfyUI workflow documentation,https://docs.comfy.org/tutorials/image/qwen/qwen-image,provisional,"Closes implementable native Qwen path","Needed only if Qwen specialist passes hardware screen","native loader plus auxiliary preprocessor may require custom node","Preprocessor support is incomplete and model-specific",conditional P2
P09,layout,grounded layout,GLIGEN,official ComfyUI example,https://comfyanonymous.github.io/ComfyUI_examples/gligen/,provisional,"Closes existence of textbox grounding in ComfyUI","Count position and size are not equivalent to edge/depth control","requires compatible GLIGEN model","Dated model compatibility may make newer regional or edit routes stronger",screen against native regional path
P10,layout,regional conditioning,ComfyUI area or mask conditioning,official ComfyUI repository and docs,https://github.com/Comfy-Org/ComfyUI,provisional,"Closes reusable native node family","Low-glue layout control fits API-format graph","core nodes; exact model behavior requires workflow test","Mask/region adherence and semantic leakage remain workload-specific",admit P2 layout cell
P11,layout,iterative edit,LayoutBench IterInpaint,diagnostic benchmark and paper,https://arxiv.org/abs/2304.06671,established,"Closes that OOD layout requires explicit testing and iterative inpainting is a serious baseline","Boundary count size position cases are applicable","implementation/model compatibility to inspect only if regional control fails","Strong in-distribution layout scores may not generalize to arbitrary layouts",reuse cases and baseline logic
P12,reference,image prompt adapter,IP-Adapter,official paper and repository,https://github.com/tencent-ailab/IP-Adapter,established,"Closes tuning-free reference-conditioning family","Direct reference-controlled profile","22M adapter claim; compatible image encoder and model weights required","Reference similarity can reduce text editability and does not prove identity",admit P2 and P3
P13,reference,ComfyUI implementation,ComfyUI IPAdapter Plus,maintained repository,https://github.com/comfyorg/comfyui-ipadapter,provisional,"Closes implementable SDXL seam","Avoids reimplementing attention adapter","custom-node pin and exact model filenames required","Requires current ComfyUI and compatibility can break across revisions",candidate implementation
P14,style or subject,parameter-efficient training,LoRA,official ecosystem documentation,https://github.com/huggingface/peft,established,"Closes efficient adaptation family not client-specific benefit","Useful for repeated approved brand style or subject outputs","training data time storage and versioned weights","Small data can overfit and collapse diversity; training time is not eliminated",conditional P3 only
P15,editing,semantic and appearance editing,Qwen-Image-Edit,official ComfyUI workflow,https://docs.comfy.org/tutorials/image/qwen/qwen-image-edit,provisional,"Closes distinct instruction-edit path","Approved-asset revision differs from greenfield generation","20B-family compute and VAE/VLM inputs","Non-target preservation and exact text/layout still need local acceptance",conditional P3 specialist
P16,editing,latent image condition,plain img2img and inpaint,official ComfyUI tutorials,https://docs.comfy.org/tutorials/basic/image-to-image,established,"Closes simple reusable edit baseline","Existing repository already contains an unused API-format img2img graph","core nodes; upload/input receipt missing in current service","Denoise can change non-target content",retain as P3 control
P17,resolution,native or latent second pass,ComfyUI hires fix and upscale nodes,official repository,https://github.com/Comfy-Org/ComfyUI,established,"Closes implementable native family","Shared graph and receipt; lowest integration burden","more sampling increases time and memory","More pixels can preserve or amplify generation defects",P4 baseline
